id,displayName,status,purchasePricePaise,paymentsTotalPaise,remainingPaise,costsPaise,repairsPaise,transportPaise,commissionPaise,refundsPaise,tviRecomputedPaise,tviStoredPaise,salePricePaise,grossRecomputedPaise,grossStoredPaise,netProfitPaise,myProfitPaise,partnerProfitPaise,meStakePaise,inventoryStatus,inActiveCapital,inInventory,inLifetimeProfit,inMonthlyProfit,inRoi,reason,rowDiffs
a5115b91-a5cd-49ee-bca1-277025df19c7,2012 Fiat lenia,ready,13000000,13000000,0,0,0,0,0,0,13000000,13000000,,,,,,,13000000,open:ready,true,true,false,false,true,"open inventory status; Active Capital via Me stake ₹1,30,000; no entitled my_share or cancelled; not in current-month entitled profit; in My ROI stake denominator",
050e0b03-b818-4226-86d6-d9179f10fbe3,2020 MG Hector Plus,settled,110000000,110000000,0,2500000,2500000,0,0,0,112500000,112500000,128500000,16000000,16000000,8000000,8000000,8000000,55000000,settled,false,false,true,false,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹80,000; not in current-month entitled profit; in My ROI numerator; in My ROI stake denominator",
f80db9de-679b-42fa-bf32-8ec19e049212,2021 MG Hector,settled,110000000,110000000,0,2500000,2500000,0,0,0,112500000,112500000,128500000,16000000,16000000,8000000,8000000,8000000,55000000,settled,false,false,true,false,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹80,000; not in current-month entitled profit; in My ROI numerator; in My ROI stake denominator",
a482212b-38ba-4215-affa-ade40019c8df,2021 MG hector ,sold,47000000,47000000,0,700000,700000,0,0,0,47700000,47700000,53269500,5569500,5569500,5569500,5569500,0,47700000,sold,false,false,true,true,true,"status=sold excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹55,695; Monthly Profit (sale 2026-07-22 in current month); in My ROI numerator; in My ROI stake denominator",
b6f926dc-2336-4820-9e8f-87e173e129ed,2021 MG hector ,ready,96000000,95999500,500,0,0,0,0,0,96000000,96000000,,,,,,,0,open:ready,false,true,false,false,false,open inventory status; open but Me stake is 0 — not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
f5b61756-8fdb-4412-8356-f75a479ef089,2021 MG Hector 9291,ready,96000000,96000000,0,0,0,0,0,0,96000000,96000000,,,,,,,96000000,open:ready,true,true,false,false,true,"open inventory status; Active Capital via Me stake ₹9,60,000; no entitled my_share or cancelled; not in current-month entitled profit; in My ROI stake denominator",
964a124b-0a15-4a00-b3ea-12b07742e447,2021 Tata harrier,ready,103000000,109000000,0,0,0,0,0,0,103000000,103000000,,,,,,,109000000,open:ready,true,true,false,false,true,"open inventory status; Active Capital via Me stake ₹10,90,000; no entitled my_share or cancelled; not in current-month entitled profit; in My ROI stake denominator",
3e2c73ed-17d0-48d0-8d72-09f8c90fbb25,2021 Tata Harrier,settled,110000000,110000000,0,2500000,2500000,0,0,0,112500000,112500000,128500000,16000000,16000000,8000000,8000000,8000000,55000000,settled,false,false,true,false,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹80,000; not in current-month entitled profit; in My ROI numerator; in My ROI stake denominator",
0f993715-bb0e-4bb2-81d7-ead0547525fa,2022 MG Astor,settled,110000000,110000000,0,2500000,2500000,0,0,0,112500000,112500000,128500000,16000000,16000000,8000000,8000000,8000000,55000000,settled,false,false,true,false,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹80,000; not in current-month entitled profit; in My ROI numerator; in My ROI stake denominator",
4b42b863-c88d-4618-bc7f-60f88725792d,2022 Tata Harrier,settled,110000000,110000000,0,2500000,2500000,0,0,0,112500000,112500000,128500000,16000000,16000000,8000000,8000000,8000000,55000000,settled,false,false,true,false,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹80,000; not in current-month entitled profit; in My ROI numerator; in My ROI stake denominator",
56c5192f-0cf2-4aa0-9bad-832ba6b1b1c6,2022 Tata Harrier half half ,ready,68300000,68300000,0,0,0,0,0,0,68300000,68300000,,,,,,,68300000,open:ready,true,true,false,false,true,"open inventory status; Active Capital via Me stake ₹6,83,000; no entitled my_share or cancelled; not in current-month entitled profit; in My ROI stake denominator",
bc967db5-54e0-4794-8de5-47acc4eebd5b,2023 Tata Harrier,settled,110000000,110000000,0,2500000,2500000,0,0,0,112500000,112500000,128500000,16000000,16000000,8000000,8000000,8000000,55000000,settled,false,false,true,false,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹80,000; not in current-month entitled profit; in My ROI numerator; in My ROI stake denominator",
533ded8f-dde9-453f-ad77-c8e3aa65da17,2024 Acceptance S1-Simple ACCEPTANCE_1785058976113,cancelled,96000000,96000000,0,0,0,0,0,0,96000000,96000000,,,,,,,96000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
3e73539f-6fb2-4a82-a43c-d8a164630e09,2024 Acceptance S1-Simple ACCEPTANCE_1785059059000,cancelled,96000000,96000000,0,0,0,0,0,0,96000000,96000000,,,,,,,96000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
f9c1b7ef-db47-4680-89b8-b5fad8216b0e,2024 Acceptance S1-Simple ACCEPTANCE_1785059176137,cancelled,96000000,96000000,0,0,0,0,0,0,96000000,96000000,,,,,,,96000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
4d66632e-0fa7-441b-966c-d6a4dfbfca0a,2024 Acceptance S2-Costs ACCEPTANCE_1785058976113,cancelled,96000000,0,96000000,2500000,1500000,500000,1000000,500000,98500000,98500000,,,,,,,96000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
77e2d870-3d36-4a4c-b9c5-897374930845,2024 Acceptance S2-Costs ACCEPTANCE_1785059059000,cancelled,96000000,5000000,91000000,2500000,1500000,500000,1000000,500000,98500000,98500000,,,,,,,96000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
a457adf0-67f6-416c-b0fb-a9b121bd7695,2024 Acceptance S2-Costs ACCEPTANCE_1785059176137,cancelled,96000000,0,96000000,1000000,0,500000,1000000,500000,97000000,97000000,,,,,,,96000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
201bcd42-b427-4ae0-ad0f-663c3c886061,2024 Acceptance S4-Sell ACCEPTANCE_1785059176137,settled,50000000,50000000,0,0,0,0,0,0,50000000,50000000,55000000,5000000,5000000,5000000,5000000,0,50000000,settled,false,false,true,true,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹50,000; Monthly Profit (sale 2026-07-26 in current month); in My ROI numerator; in My ROI stake denominator",
d4f7a5c4-1538-4daf-94ae-20956090c614,2024 Acceptance S5-Fleet-1 ACCEPTANCE_1785059176137,settled,10000000,10000000,0,0,0,0,0,0,10000000,10000000,12000000,2000000,2000000,2000000,2000000,0,10000000,settled,false,false,true,true,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹20,000; Monthly Profit (sale 2026-07-26 in current month); in My ROI numerator; in My ROI stake denominator",
42f90593-209c-490e-a5ef-7c5959ebbb14,2024 Acceptance S5-Fleet-2 ACCEPTANCE_1785059176137,settled,20000000,20000000,0,0,0,0,0,0,20000000,20000000,24000000,4000000,4000000,4000000,4000000,0,20000000,settled,false,false,true,true,true,"status=settled excluded from inventory; not in Active Capital; Lifetime Profit via my_share ₹40,000; Monthly Profit (sale 2026-07-26 in current month); in My ROI numerator; in My ROI stake denominator",
0c05c60c-ff62-448a-aca7-5baaef32ada5,2024 Acceptance S5-Fleet-3 ACCEPTANCE_1785059176137,cancelled,30000000,30000000,0,0,0,0,0,0,30000000,30000000,,,,,,,30000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
99e2650f-b3ef-471d-8f8c-f01d7874009f,2024 Acceptance S5-Fleet-4 ACCEPTANCE_1785059176137,cancelled,40000000,40000000,0,0,0,0,0,0,40000000,40000000,,,,,,,40000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
3d0aa01c-d1e7-4118-b1e5-302fd090a532,2024 Acceptance S5-Fleet-5 ACCEPTANCE_1785059176137,cancelled,50000000,50000000,0,0,0,0,0,0,50000000,50000000,,,,,,,50000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
28911224-8a49-4fe2-a739-943a7a4d7fa3,2024 Acceptance Workflow,cancelled,47000000,47000000,0,3230000,0,730000,1000000,500000,50230000,50230000,,,,,,,47000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
a5e4c542-c3de-44a3-a499-e2c658851ea5,2024 Acceptance Workflow,cancelled,47000000,47000000,0,3230000,0,730000,1000000,500000,50230000,50230000,,,,,,,47000000,archived,false,false,false,false,false,status=cancelled excluded from inventory; not in Active Capital; no entitled my_share or cancelled; not in current-month entitled profit; not in portfolio ROI,
